base_mu_p,rho,char_height_px,n_pairs,paired_cov_char_acc,paired_corr_char_acc,paired_mean_delta,paired_std_delta,paired_win_rate,paired_tie_rate
76,0.5,8,50,0.0017315982684000001,0.4567474606468871,0.038181780000000005,0.06444542039912533,0.64,0.16
76,0.6,8,50,0.0007102551339000008,0.21668122975602397,0.004848479999999997,0.07227226280890892,0.4,0.24
76,0.7,8,50,0.0001694117786399991,0.053859580911901836,-0.019999979999999994,0.0773450692159494,0.32,0.18
76,0.8,8,50,0.0013897762725600005,0.3040680993025666,0.005454540000000008,0.079984645230069,0.44,0.18
76,0.9,8,50,-0.0005801978613600003,-0.12765114163838817,0.0018181799999999958,0.10159970249769436,0.5,0.1
76,1.0,8,50,0.0007353670568399993,0.17476018279647135,-0.010909080000000008,0.08366513502242139,0.36,0.08
91,0.1,8,50,0.013918403521269383,0.2770252351648797,0.016969939999999996,0.2780124544188924,0.56,0.16
91,0.2,8,50,0.012310131722048983,0.11943502158738475,-0.06121217999999999,0.4276519219423756,0.44,0.22
91,0.3,8,50,-0.0005884446310971434,-0.04245857331505984,0.11636366000000001,0.26127691768435485,0.62,0.16
91,0.4,8,50,0.0003245809741200003,0.11264716638660101,0.01999998,0.07155563322352755,0.56,0.08
91,0.5,8,50,0.0003905466224400003,0.10471750249822194,0.023030279999999993,0.08249215909357689,0.56,0.12
91,0.6,8,50,0.00056445605892,0.1415371426980935,0.010909080000000005,0.08276432136083761,0.5,0.06
91,0.7,8,50,0.00024362313299999968,0.07038602681961559,-0.005454539999999999,0.08045187652615693,0.48,0.06
91,0.8,8,50,0.0008912858619600002,0.21492473533086306,-0.014545439999999991,0.08081212275197329,0.26,0.18
91,0.9,8,50,0.0014939720125199986,0.35362346811530343,-0.015151499999999995,0.07529224994977904,0.36,0.1
91,1.0,8,50,0.0010854347587199997,0.22508091193268603,0.0018181799999999958,0.08731497491049288,0.44,0.16
108,0.1,8,50,-0.0036633500534179603,-0.05758815925945997,0.006060960000000003,0.37600099852684177,0.54,0.12
108,0.2,8,50,-0.020114334208507754,-0.21265689381959046,0.1327273,0.48154778560266115,0.62,0.1
108,0.3,8,50,0.0008605518667200002,0.28551998848800497,0.02424240000000001,0.06565253559459834,0.6,0.12
108,0.4,8,50,0.0008560542088800007,0.25856806210433697,0.009090900000000004,0.07146128792919981,0.46,0.14
108,0.5,8,50,0.00042952632371999933,0.11861490982412747,0.0151515,0.08150714959130886,0.56,0.06
108,0.6,8,50,0.0018245498637600001,0.3305580987783662,0.01757574000000001,0.08616558871951145,0.54,0.12
108,0.7,8,50,0.00177170238414,0.41838931714366134,-0.01696968,0.07038054064242473,0.3,0.1
108,0.8,8,50,0.0006615305072999993,0.13748460900375295,-0.033939359999999995,0.09155400042859953,0.34,0.14
108,0.9,8,50,0.0019396149435000004,0.3884365387537567,0.0012121199999999964,0.07815253896528251,0.38,0.18
108,1.0,8,50,0.00019714733532000012,0.06022179731124804,-0.013939380000000017,0.07845170456542037,0.3,0.14
128,0.1,8,50,0.0024452344626285714,0.028286651962424587,0.00909098,0.4110163473716765,0.44,0.24
128,0.2,8,50,-0.006895673722755915,-0.1585155935925249,0.10787882000000001,0.3424656598613547,0.46,0.12
128,0.3,8,50,0.0007200000592200006,0.26647974626608717,0.016969679999999997,0.06307874419422124,0.44,0.3
128,0.4,8,50,0.0009467569753199996,0.21803939106776088,0.013939380000000001,0.08241260912760864,0.56,0.14
128,0.5,8,50,0.0016229048706,0.3436802358996228,-0.0018181800000000026,0.07873783415626823,0.44,0.16
128,0.6,8,50,0.0013477981327200002,0.2743689788917276,-0.009090899999999996,0.0844432454403548,0.38,0.12
128,0.7,8,50,0.0016453931597999992,0.3225204679872132,-0.009696960000000015,0.08314385184774638,0.36,0.2
128,0.8,8,50,0.0007346174471999997,0.18077981060208356,-0.003636360000000001,0.08159676968164856,0.4,0.16
128,0.9,8,50,0.0011469027492000004,0.2884318893139704,0.004848480000000004,0.07704160648325034,0.46,0.2
128,1.0,8,50,-0.00013492973520000035,-0.041455043603269154,0.005454539999999992,0.08431887469944083,0.48,0.08
152,0.1,8,50,0.0025142006397959227,0.02503993956079602,0.06121213999999999,0.44340059858971176,0.5,0.24
152,0.2,8,50,0.0009272690294399995,0.09756210671928355,0.02363638,0.1651037089824169,0.46,0.08
152,0.3,8,50,-2.9234775960000175e-05,-0.006988832524657562,0.013333319999999989,0.09206837572760801,0.48,0.12
152,0.4,8,50,0.0008984071535399992,0.19901417242780464,-0.00727272000000001,0.08539439430032865,0.42,0.14
152,0.5,8,50,0.002619885691800001,0.4524598829715485,-0.01757574000000001,0.08192911278281978,0.38,0.08
152,0.6,8,50,0.00023387820768000018,0.04794560606672889,0.0066666600000000065,0.09666182989050022,0.42,0.16
152,0.7,8,50,0.000987235895880001,0.30660372091293703,0.0030302999999999945,0.06769039019314337,0.44,0.18
152,0.8,8,50,0.0007529828833800001,0.2544182094741481,-0.0036363600000000073,0.06668346410077988,0.36,0.18
152,0.9,8,50,0.00103970857068,0.26885781055418495,0.006060600000000003,0.07522999921573839,0.5,0.1
152,1.0,8,50,0.0012638418530399992,0.3295117579615689,-0.0018181800000000026,0.07176484537445896,0.4,0.18
181,0.1,8,50,0.01680817381646204,0.1679521632320881,-0.01696974,0.4090927175681552,0.4,0.28
181,0.2,8,50,0.001068194850171429,0.17496850448200454,0.03636362,0.12411489154151832,0.52,0.2
181,0.3,8,50,0.0011131703153999999,0.2717637655249296,-0.007878779999999998,0.07739351283163208,0.46,0.1
181,0.4,8,50,0.00130282155432,0.2904039216529496,-0.030303000000000004,0.0802909889340018,0.32,0.1
181,0.5,8,50,0.001308818431440001,0.367520995607122,-0.00484848,0.06744354154046184,0.4,0.14
181,0.6,8,50,0.0007582301508600002,0.23767876846877536,-0.008484839999999999,0.0716681606662261,0.36,0.22
181,0.7,8,50,0.00088304015592,0.33539129839994125,-0.004242420000000007,0.05998750767301472,0.36,0.3
181,0.8,8,50,0.0014654868461999996,0.4479205436031401,0.0054545399999999964,0.060510067646466895,0.44,0.12
181,0.9,8,50,0.0017735764082399998,0.5935390446214852,-0.007272719999999995,0.0495703580773833,0.32,0.3
181,1.0,8,50,0.0015696825861600005,0.46268237761427605,0.012727259999999997,0.06124884850656377,0.48,0.16
215,0.1,8,50,0.007747985597721636,0.08787277854443368,0.19515158,0.4082213937076996,0.62,0.18
215,0.2,8,50,0.0001559188051200004,0.059771190896824006,0.004848479999999995,0.07016720113785357,0.44,0.22
215,0.3,8,50,-0.00016941177863999984,-0.042987711162856775,-0.020606040000000006,0.09069022532820172,0.34,0.14
215,0.4,8,50,0.00037293079590000036,0.07668313323662626,-0.019393920000000005,0.09479620437717956,0.28,0.14
215,0.5,8,50,0.0009632483873999998,0.24649899617799656,-0.01454544000000001,0.07701241115352772,0.34,0.18
215,0.6,8,50,0.001143154701,0.36725669900439845,-0.0012121200000000032,0.06301929762160159,0.42,0.2
215,0.7,8,50,0.0009032796161999999,0.36664690850301723,-0.0018181800000000026,0.058852114164403654,0.38,0.24
215,0.8,8,50,0.001720354123800001,0.42594356942666056,-0.019999979999999997,0.06834063843731633,0.36,0.12
215,0.9,8,50,0.0020520563895,0.5824414527896716,0.010909079999999998,0.05569456607533628,0.52,0.16
215,1.0,8,50,0.00224882892,0.5637345210021215,-0.0060605999999999915,0.05935625753027224,0.38,0.28
256,0.1,8,50,-0.0014459982076800006,-0.15964951884006717,0.08909089999999999,0.21184808673932423,0.62,0.08
256,0.2,8,50,0.001525455617399999,0.34667349639536005,0.0006060600000000016,0.07584773682965103,0.44,0.14
256,0.3,8,50,0.0008399376016200003,0.1968858313714039,-0.018181799999999998,0.08371887561356758,0.32,0.12
256,0.4,8,50,0.0014437481666399997,0.3937438079697984,-0.010303020000000003,0.07023393934573227,0.36,0.18
256,0.5,8,50,0.0009609995584800003,0.29433646471063063,-0.009090900000000002,0.06851591326472996,0.34,0.22
256,0.6,8,50,0.0016963666153199995,0.5055151026766603,0.00121211999999999,0.057743083384246115,0.4,0.24
256,0.7,8,50,0.0008687975727600003,0.2647686938841093,0.005454539999999999,0.06998802892338088,0.38,0.26
256,0.8,8,50,0.0019872151556400005,0.49791631830856137,-0.0012121200000000077,0.0633159723507426,0.36,0.24
